pmid,pub_year,journal,pub_type_simple_5,specialty,title,has_abstract,flag_confirmed,flag_reason,signature_claim,signature_claim_2,tier,topic,horizon
36924908,2023,American journal of obstetrics and gynecology,Research Article,Obstetrics / Gynecology,Chat Generative Pre-trained Transformer: why we should embrace this technology.,yes,yes,"The abstract makes forward-looking claims about ChatGPT's 'potential uses in the practice of medicine' and encourages clinicians to 'help guide and develop new ways to use this powerful tool,' predicting its deployment in obstetrics-gynecology workflows.","Chat Generative Pre-trained Transformer has potential uses in the practice of medicine, and clinicians (obstetrician-gynecologists) should serve as the driving force behind developing and guiding its use in their field.",,2,clinical NLP / obstetrics-gynecology,open-ended
37204548,2023,Annals of biomedical engineering,Letter,Surgery,GPT4: The Indispensable Helper for Neurosurgeons in the New Era.,yes,yes,"The abstract explicitly states GPT4 'has great potential to revolutionize the healthcare industry' and 'is prone to become an indispensable assistant for neurosurgeons in the new era,' constituting a forward-looking claim.",GPT4 is prone to become an indispensable assistant for neurosurgeons in the new era.,,3,neurosurgery / clinical AI assistance,open-ended
37335374,2023,Annals of biomedical engineering,Letter,Internal Medicine / Primary Care,The Rise of AI: How Artificial Intelligence is Revolutionizing Infectious Disease Control.,yes,yes,"The abstract makes forward-looking claims that AI 'is increasingly playing a role in preventing future health crises' and will predict outbreaks, identify high-risk areas, and aid vaccine development.","AI will increasingly prevent future health crises by predicting outbreaks, identifying high-risk areas, and aiding in vaccine development.",,3,infectious disease surveillance and control,open-ended
37183438,2023,Cancer,Research Article,Oncology,ChatGPT-A promising generative AI tool and its implications for cancer care.,yes,yes,"The abstract makes forward-looking claims about ChatGPT's potential to review patient records, interpret NGS reports, and offer clinical trial options in oncology.","ChatGPT is well suited to review and extract key content from records of patients with cancer, interpret next-generation sequencing reports, and offer a list of potential clinical trial options.",,2,oncology / clinical NLP,open-ended
37366774,2023,Cancer biotherapy & radiopharmaceuticals,Editorial,Oncology,Cancer Care by Committee to be Superseded by Personal Physician-Patient Partnership Informed by Artificial Intelligence.,yes,yes,"The abstract explicitly hypothesizes that AI and Chatbot technology 'will shift the cancer care paradigm from a MTB management model toward a personal physician-patient shared-care partnership,' a specific forward-looking displacement claim.",The advent of advanced artificial intelligence technology and Chatbot natural language algorithms will shift the cancer care paradigm from a multidisciplinary tumor board (MTB) management model toward a personal physician-patient shared-care partnership for real-world practice of precision individualized holistic oncology.,,1,oncology decision-making / tumor boards,open-ended
37686619,2023,Cancers,Review,Oncology,Artificial Intelligence in Lung Cancer Screening: The Future Is Now.,yes,yes,"The title states 'The Future Is Now' and the abstract makes forward-looking claims about AI's role in lung cancer screening workflows, including CAD systems working as concurrent/second readers and enabling 'virtual biopsy' capabilities.","AI-based computer-aided detection (CAD) systems provide automatic detection of potential lung nodules with high sensitivity, working as a concurrent or second reader and reducing the time needed for image interpretation in lung cancer screening.","AI-based radiomic features extraction after segmentation can characterize lung abnormalities providing a so-called 'virtual biopsy', enabling non-invasive malignancy characterization.",2,lung cancer screening / radiology AI,open-ended
36706908,2023,Chest,Review,Internal Medicine / Primary Care,Smart Devices Are Poised to Revolutionize the Usefulness of Respiratory Sounds.,yes,yes,"The abstract explicitly states 'Smart Devices Are Poised to Revolutionize' and 'We expect that these tiny, smart devices soon will allow us to address clinical questions that occur away from the clinic,' making forward-looking claims about AI-enabled respiratory monitoring.","Smart devices using AI and remote patient monitoring will soon allow continuous assessment of respiratory sounds (wheezes, snoring, cough, crackles) at home or work, enabling automated reports delivered to practitioners and addressing clinical questions that occur away from the clinic.",,2,respiratory sound monitoring / pulmonary medicine,open-ended
37055885,2023,Current pharmaceutical biotechnology,Review,Oncology,Artificial Intelligence: An Emerging Intellectual Sword for Battling Carcinomas.,yes,yes,"The abstract makes forward-looking claims about AI's future role in cancer, stating it 'has put forward an unprecedented accuracy' and reviewing 'past, present and future of cancer' with AI as a 'promising tool' across multiple oncology domains.","AI will achieve unprecedented accuracy as a promising tool in radiotherapy, mammography, imaging, cancer prognosis, cancer genomics, pathology, drug discovery, chemotherapy, immunotherapy, and clinical decision support in cancer care.",,3,oncology / cancer AI applications,open-ended
36736581,2023,Drug discovery today,Review,Medical Informatics / Digital Health,Pharma's Bio-AI revolution.,yes,yes,"The abstract explicitly predicts that integration of ML with other technologies has 'the potential to address this challenge, drastically cutting the time and cost of developing drugs, and tailoring them to individual patients' — a forward-looking capability claim.","Integration of machine learning, patient-on-chip, real-time sensing, and stem cells has the potential to drastically cut the time and cost of developing drugs and tailor them to individual patients.",,2,drug discovery / AI integration,open-ended
37705603,2023,Frontiers in artificial intelligence,Review,Medical Informatics / Digital Health,Artificial intelligence in clinical medicine: catalyzing a sustainable global healthcare paradigm.,yes,yes,"The abstract claims AI is 'revolutionizing various aspects of patient care' and 'catalyzing a sustainable global healthcare paradigm,' with forward-looking language about AI transforming healthcare delivery, reducing costs, and improving outcomes.","The integration of AI in clinical medicine will revolutionize various aspects of patient care and medical research, improving diagnostic accuracy, treatment outcomes, healthcare efficiency, reduced costs, and better patient experiences globally.",,3,clinical medicine / healthcare systems,open-ended
37529703,2023,Frontiers in pharmacology,Research Article,Medical Informatics / Digital Health,Future implications of ChatGPT in pharmaceutical industry: drug discovery and development.,no,yes,"Title explicitly states 'future implications' of ChatGPT in drug discovery and development, a forward-looking claim about AI's role in pharmaceutical pipelines.",ChatGPT will have significant future implications for drug discovery and development in the pharmaceutical industry.,,2,drug discovery / pharmaceutical AI,open-ended
37927543,2023,Health science reports,Research Article,Medical Informatics / Digital Health,The power of ChatGPT in revolutionizing rural healthcare delivery.,no,yes,Title contains explicit forward-looking transformation language: 'revolutionizing rural healthcare delivery' predicts ChatGPT will transform rural healthcare.,ChatGPT has the power to revolutionize rural healthcare delivery.,,3,rural healthcare / conversational AI,open-ended
38024205,2023,International journal of public health,Research Article,Multidisciplinary / Other,Using Artificial Intelligence to Advance Public Health.,no,no,"Title is a bland, descriptive phrase with no specific forward-looking claim about what AI will do, replace, or enable in a testable way.",,,,public health,open-ended
38259001,2023,"International journal of surgery (London, England)",Research Article,Medical Informatics / Digital Health,Revolutionizing clinical trials: the role of AI in accelerating medical breakthroughs.,yes,yes,"The abstract explicitly states 'The future implications of AI to accelerate clinical trials are important in medical research because of its fast output and overall utility,' and describes AI revolutionizing clinical trial processes with specific capabilities like automated data management, biosimulation, and early disease diagnosis.","AI will accelerate clinical trials through automated data generation and management, biosimulation, and early disease diagnosis, reducing cost and time, improving efficiency, and improving drug development research with less need for rework.",,2,clinical trials / drug development,open-ended
37417554,2023,Investigative and clinical urology,Editorial,Surgery,"Unleashing the potential: Artificial intelligence in urology for enhanced diagnosis, treatment, and personalized care.",no,yes,"Title contains forward-looking language 'unleashing the potential' and claims AI will enable 'enhanced diagnosis, treatment, and personalized care' in urology.","Artificial intelligence will enhance diagnosis, treatment, and personalized care in urology.",,3,urology,open-ended
37656938,2023,JNCI cancer spectrum,Letter,Oncology,RE: Artificial intelligence chatbots will revolutionize how cancer patients access information: ChatGPT represents a paradigm-shift.,no,yes,"Title explicitly states AI chatbots 'will revolutionize' cancer patient information access and calls ChatGPT a 'paradigm-shift', constituting a forward-looking claim.","Artificial intelligence chatbots will revolutionize how cancer patients access information, with ChatGPT representing a paradigm-shift.",,3,oncology patient information / clinical NLP,open-ended
35695277,2023,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,Research Article,Cardiology,"Is the Cardiovascular Specialist Ready For the Fifth Revolution? The Role of Artificial Intelligence, Machine Learning, Big Data Analysis, Intelligent Swarming, and Knowledge-Centered Service on the Future of Global Cardiovascular Healthcare Delivery.",no,yes,Title explicitly asks whether cardiovascular specialists are ready for AI/ML-driven transformation and frames these technologies as defining 'the future of global cardiovascular healthcare delivery' — a forward-looking claim about AI's role.,"Artificial intelligence, machine learning, big data analysis, intelligent swarming, and knowledge-centered service will define the future of global cardiovascular healthcare delivery.",,3,cardiovascular care / AI transformation,open-ended
37347508,2023,Journal of medical Internet research,Research Article,Medical Informatics / Digital Health,The ChatGPT (Generative Artificial Intelligence) Revolution Has Made Artificial Intelligence Approachable for Medical Professionals.,yes,yes,The paper argues that the ChatGPT revolution has initiated a wave of AI products/services and 'contemplates how they might change physicians' perceptions about this breakthrough technology' — a forward-looking claim about AI transforming physician adoption.,The ChatGPT revolution has initiated a wave of generative AI products and services that will change physicians' perceptions and make AI approachable for medical professionals.,,3,clinical AI adoption / large language models,open-ended
37751243,2023,Journal of medical Internet research,Research Article,Medical Informatics / Digital Health,A Future of Smarter Digital Health Empowered by Generative Pretrained Transformer.,yes,yes,"The abstract explicitly predicts 'a future of smarter digital health' enabled by GPT, with concrete claims about GPT being incorporated into digital health platforms, homes, hospitals, wearables, and enabling automated analytics and personalized healthcare.","GPT technology can be incorporated through various digital health platforms in homes and hospitals embedded with numerous sensors, wearables, and remote monitoring devices to enable centralized communications, automated analytics, personalized health care, and instant decision-making.",,2,digital health / generative AI,open-ended
36869942,2023,Journal of medical systems,Editorial,Medical Informatics / Digital Health,Artificial Intelligence in Medicine & ChatGPT: De-Tether the Physician.,no,yes,"The phrase 'De-Tether the Physician' is a forward-looking claim that AI/ChatGPT will free physicians from current constraints, implying a transformative displacement or augmentation of physician workflow.",Artificial intelligence and ChatGPT will de-tether (liberate) physicians from current administrative or clinical burdens.,,3,clinical workflow / physician augmentation,open-ended
37975946,2023,Journal of medical systems,Letter,Medical Informatics / Digital Health,Applications of Artificial Intelligence in Health Care Delivery.,yes,yes,"The abstract makes forward-looking claims that AI will serve as a 'wheat thresher' for health care delivery, reducing costs, improving care, and enhancing patient/physician experience through specific mechanisms (administrative automation, clinical augmentation, clinical automation).","Artificial intelligence can serve as the 'wheat thresher' for health care delivery, empowering and freeing both patients and physicians by decreasing administrative burden and improving labor productivity across three principal areas: automation of administrative process, augmentation of clinical practice, and automation of elements of clinical practice.",,2,health care delivery / administrative and clinical AI,open-ended
37623465,2023,Journal of personalized medicine,Review,Medical Informatics / Digital Health,Advancing Patient Care: How Artificial Intelligence Is Transforming Healthcare.,yes,yes,The abstract states AI 'has the role to revolutionize patients' outcomes and transform the way healthcare is practiced' — a forward-looking transformative claim.,"The widespread implementation of AI in healthcare has the role to revolutionize patients' outcomes and transform the way healthcare is practiced, leading to improved accessibility, affordability, and quality of care.",,3,general healthcare AI,open-ended
37459906,2023,Journal of the American College of Radiology : JACR,Review,Medical Informatics / Digital Health,The Diagnostic Cockpit of the Future.,yes,yes,"The abstract explicitly describes a future 'diagnostic cockpit' that will integrate AI to produce precision diagnoses, framing it as 'the diagnostic processes of the future.'","Technology exists today to create a 'diagnostic cockpit' that can accept inputs from multiple sources, analyze them using artificial intelligence and other quantitative tools, and produce a precision diagnosis.",,2,multimodal diagnostic AI / precision medicine,open-ended
36427077,2023,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Review,Surgery,A practical guide to the development and deployment of deep learning models for the Orthopedic surgeon: part I.,yes,no,"The paper is a practical guide/tutorial for orthopedic surgeons on how to develop and deploy deep learning models; it is descriptive and educational, not making a specific forward-looking predictive claim about AI's future role.",,,,orthopedic surgery / deep learning education,open-ended
36841609,2023,"Lancet (London, England)",Letter,Medical Informatics / Digital Health,The promise of large language models in health care.,no,yes,The word 'promise' signals a forward-looking claim about what large language models will deliver in health care.,Large language models hold significant promise for transforming health care.,,3,clinical NLP / large language models,open-ended
36918736,2023,Nature medicine,Editorial,Medical Informatics / Digital Health,Will ChatGPT transform healthcare?,no,yes,"The title poses a direct forward-looking question about whether ChatGPT will transform healthcare, implying a predictive claim about AI's future role.",ChatGPT will transform healthcare.,,3,healthcare AI / large language models,open-ended
38036704,2023,Nature medicine,Research Article,Medical Informatics / Digital Health,Six ways large language models are changing healthcare.,no,yes,"Title asserts LLMs are actively changing healthcare, implying a forward-looking transformative role across multiple domains.",Large language models are changing healthcare in six distinct ways.,,3,large language models / healthcare transformation,open-ended
37757713,2023,Nurse education today,Research Article,Nursing,"A holistic approach to remote patient monitoring, fueled by ChatGPT and Metaverse technology: The future of nursing education.",yes,yes,"The abstract makes a forward-looking claim that unifying ChatGPT and Metaverse technology in nursing education 'can enrich the learning experience and equip nurses with the necessary skills for remote patient monitoring, ultimately leading to improved patient outcomes and quality of care.'","The unification of ChatGPT and Metaverse technology in nursing education can enrich the learning experience and equip nurses with the necessary skills for remote patient monitoring, ultimately leading to improved patient outcomes and quality of care.",,2,nursing education / remote patient monitoring,open-ended
37389584,2023,Postgraduate medical journal,Review,Surgery,Artificial intelligence in orthopaedics surgery: transforming technological innovation in patient care and surgical training.,yes,yes,"The abstract states AI 'has the potential to transform education, practice and delivery of healthcare especially in orthopaedics' and explains 'how potentially these two entities could be combined in the future to improve surgical education, training and ultimately patient care and outcomes' — forward-looking transformation claim.","AI has the potential to transform education, practice and delivery of healthcare in orthopaedics, and could be combined with existing technologies in the future to improve surgical education, training, and ultimately patient care and outcomes.",,3,orthopaedic surgery and surgical training,open-ended
37489981,2023,Radiology,Research Article,Radiology / Diagnostic Imaging,A Context-based Chatbot Surpasses Trained Radiologists and Generic ChatGPT in Following the ACR Appropriateness Guidelines.,yes,yes,"The paper makes a specific forward-looking claim that context-based chatbots surpass trained radiologists and generic ChatGPT in following ACR guidelines, with demonstrated superiority in accuracy, time, and cost savings, implying generalized clinical deployment potential.","A context-based chatbot (accGPT) performed superior to trained radiologists and generic ChatGPT in providing correct imaging recommendations per ACR appropriateness criteria, with average decision time of 5 minutes and cost of 0.19€ versus 50 minutes and 29.99€ for radiologists.","ChatGPT-based algorithms have the potential to substantially improve decision-making for clinical imaging studies in accordance with ACR guidelines, with context-based algorithms outperforming generic counterparts.",1,radiology clinical decision support / imaging guidelines,open-ended
37574841,2023,Technology in cancer research & treatment,Editorial,Oncology,Novel Applications of Artificial Intelligence in Cancer Research.,yes,no,"The abstract is purely descriptive/retrospective, summarizing current applications without making any specific forward-looking prediction about what AI will do, become, replace, or enable in the future.",,,,oncology / cancer research AI,open-ended
37699445,2023,The American journal of the medical sciences,Letter,Medical Education,Revolutionizing clinical experimental protocol design through the ChatGPT technology.,no,yes,Title uses 'Revolutionizing' to make a forward-looking transformation claim about ChatGPT technology changing clinical experimental protocol design.,ChatGPT technology will revolutionize clinical experimental protocol design.,,3,clinical trial protocol design / NLP,open-ended
37465322,2023,The Lancet regional health. Europe,Editorial,Medical Informatics / Digital Health,Embracing generative AI in health care.,no,no,"Title is a vague aspirational statement with no specific forward-looking claim about what AI will do, replace, or enable.",,,,generative AI in healthcare,open-ended
35101642,2023,Trends in cardiovascular medicine,Review,Cardiology,Successfully implemented artificial intelligence and machine learning applications in cardiology: State-of-the-art review.,yes,yes,"The abstract explicitly states AI/ML 'could revolutionize cardiology' across multiple domains, constituting a forward-looking claim about AI's transformative role.","AI and machine learning algorithms could revolutionize cardiology across domains including signal processing, image processing, clinical risk stratification, natural language processing, and fundamental clinical discoveries.",,3,cardiology,open-ended
37750962,2023,World journal of urology,Letter,Medical Informatics / Digital Health,Generative AI: in rescue of healthcare reformation.,no,yes,"The title asserts a forward-looking role for Generative AI as a rescuer/transformer of healthcare reformation, implying it will enable or drive systemic change.",Generative AI will rescue and drive the reformation of healthcare.,,3,healthcare transformation,open-ended
